Date,year,MonthName,MonthNo,Day,DayName,DayNo
2019-03-25 00:00:00,2019,March,3,25,Monday,2
2017-05-01 00:00:00,2017,May,5,1,Monday,2
2017-05-08 00:00:00,2017,May,5,8,Monday,2
2017-05-15 00:00:00,2017,May,5,15,Monday,2
2017-05-22 00:00:00,2017,May,5,22,Monday,2
2017-05-29 00:00:00,2017,May,5,29,Monday,2
2018-05-07 00:00:00,2018,May,5,7,Monday,2
2018-05-14 00:00:00,2018,May,5,14,Monday,2
2018-05-21 00:00:00,2018,May,5,21,Monday,2
2018-05-28 00:00:00,2018,May,5,28,Monday,2
2019-05-06 00:00:00,2019,May,5,6,Monday,2
2019-05-13 00:00:00,2019,May,5,13,Monday,2
2019-05-20 00:00:00,2019,May,5,20,Monday,2
2019-05-27 00:00:00,2019,May,5,27,Monday,2
2017-11-06 00:00:00,2017,November,11,6,Monday,2
2017-11-13 00:00:00,2017,November,11,13,Monday,2
2017-11-20 00:00:00,2017,November,11,20,Monday,2
2017-11-27 00:00:00,2017,November,11,27,Monday,2
2018-11-05 00:00:00,2018,November,11,5,Monday,2
2018-11-12 00:00:00,2018,November,11,12,Monday,2
2018-11-19 00:00:00,2018,November,11,19,Monday,2
2018-11-26 00:00:00,2018,November,11,26,Monday,2
2019-11-04 00:00:00,2019,November,11,4,Monday,2
2019-11-11 00:00:00,2019,November,11,11,Monday,2
2019-11-18 00:00:00,2019,November,11,18,Monday,2
2019-11-25 00:00:00,2019,November,11,25,Monday,2
2017-10-02 00:00:00,2017,October,10,2,Monday,2
2017-10-09 00:00:00,2017,October,10,9,Monday,2
2017-10-16 00:00:00,2017,October,10,16,Monday,2
2017-10-23 00:00:00,2017,October,10,23,Monday,2
2017-10-30 00:00:00,2017,October,10,30,Monday,2
2018-10-01 00:00:00,2018,October,10,1,Monday,2
2018-10-08 00:00:00,2018,October,10,8,Monday,2
2018-10-15 00:00:00,2018,October,10,15,Monday,2
2018-10-22 00:00:00,2018,October,10,22,Monday,2
2018-10-29 00:00:00,2018,October,10,29,Monday,2
2019-10-07 00:00:00,2019,October,10,7,Monday,2
2019-10-14 00:00:00,2019,October,10,14,Monday,2
2019-10-21 00:00:00,2019,October,10,21,Monday,2
2019-10-28 00:00:00,2019,October,10,28,Monday,2
2017-09-04 00:00:00,2017,September,9,4,Monday,2
2017-09-11 00:00:00,2017,September,9,11,Monday,2
2017-09-18 00:00:00,2017,September,9,18,Monday,2
2017-09-25 00:00:00,2017,September,9,25,Monday,2
2018-09-03 00:00:00,2018,September,9,3,Monday,2
2018-09-10 00:00:00,2018,September,9,10,Monday,2
2018-09-17 00:00:00,2018,September,9,17,Monday,2
2018-09-24 00:00:00,2018,September,9,24,Monday,2
2019-09-02 00:00:00,2019,September,9,2,Monday,2
2019-09-09 00:00:00,2019,September,9,9,Monday,2
2019-09-16 00:00:00,2019,September,9,16,Monday,2
2019-09-23 00:00:00,2019,September,9,23,Monday,2
2019-09-30 00:00:00,2019,September,9,30,Monday,2
2017-04-01 00:00:00,2017,April,4,1,Saturday,7
2017-04-08 00:00:00,2017,April,4,8,Saturday,7
2017-04-15 00:00:00,2017,April,4,15,Saturday,7
2017-04-22 00:00:00,2017,April,4,22,Saturday,7
2017-04-29 00:00:00,2017,April,4,29,Saturday,7
2018-04-07 00:00:00,2018,April,4,7,Saturday,7
2018-04-14 00:00:00,2018,April,4,14,Saturday,7
2018-04-21 00:00:00,2018,April,4,21,Saturday,7
2018-04-28 00:00:00,2018,April,4,28,Saturday,7
2019-04-06 00:00:00,2019,April,4,6,Saturday,7
2019-04-13 00:00:00,2019,April,4,13,Saturday,7
2019-04-20 00:00:00,2019,April,4,20,Saturday,7
2019-04-27 00:00:00,2019,April,4,27,Saturday,7
2017-08-05 00:00:00,2017,August,8,5,Saturday,7
2017-08-12 00:00:00,2017,August,8,12,Saturday,7
2017-08-19 00:00:00,2017,August,8,19,Saturday,7
2017-08-26 00:00:00,2017,August,8,26,Saturday,7
2018-08-04 00:00:00,2018,August,8,4,Saturday,7
2018-08-11 00:00:00,2018,August,8,11,Saturday,7
2018-08-18 00:00:00,2018,August,8,18,Saturday,7
2018-08-25 00:00:00,2018,August,8,25,Saturday,7
2019-08-03 00:00:00,2019,August,8,3,Saturday,7
2019-08-10 00:00:00,2019,August,8,10,Saturday,7
2019-08-17 00:00:00,2019,August,8,17,Saturday,7
2019-08-24 00:00:00,2019,August,8,24,Saturday,7
2019-08-31 00:00:00,2019,August,8,31,Saturday,7
2017-12-02 00:00:00,2017,December,12,2,Saturday,7
2017-12-09 00:00:00,2017,December,12,9,Saturday,7
2017-12-16 00:00:00,2017,December,12,16,Saturday,7
2017-12-23 00:00:00,2017,December,12,23,Saturday,7
2017-12-30 00:00:00,2017,December,12,30,Saturday,7
2018-12-01 00:00:00,2018,December,12,1,Saturday,7
2018-12-08 00:00:00,2018,December,12,8,Saturday,7
2018-12-15 00:00:00,2018,December,12,15,Saturday,7
2018-12-22 00:00:00,2018,December,12,22,Saturday,7
2018-12-29 00:00:00,2018,December,12,29,Saturday,7
2019-12-07 00:00:00,2019,December,12,7,Saturday,7
2019-12-14 00:00:00,2019,December,12,14,Saturday,7
2019-12-21 00:00:00,2019,December,12,21,Saturday,7
2019-12-28 00:00:00,2019,December,12,28,Saturday,7
2017-02-04 00:00:00,2017,February,2,4,Saturday,7
2017-02-11 00:00:00,2017,February,2,11,Saturday,7
2017-02-18 00:00:00,2017,February,2,18,Saturday,7
2017-02-25 00:00:00,2017,February,2,25,Saturday,7
2018-02-03 00:00:00,2018,February,2,3,Saturday,7
2018-02-10 00:00:00,2018,February,2,10,Saturday,7
2018-02-17 00:00:00,2018,February,2,17,Saturday,7
2018-02-24 00:00:00,2018,February,2,24,Saturday,7
2019-02-02 00:00:00,2019,February,2,2,Saturday,7
2019-02-09 00:00:00,2019,February,2,9,Saturday,7
2019-02-16 00:00:00,2019,February,2,16,Saturday,7
2019-02-23 00:00:00,2019,February,2,23,Saturday,7
2017-01-07 00:00:00,2017,January,1,7,Saturday,7
2017-01-14 00:00:00,2017,January,1,14,Saturday,7
2017-01-21 00:00:00,2017,January,1,21,Saturday,7
2017-01-28 00:00:00,2017,January,1,28,Saturday,7
2018-01-06 00:00:00,2018,January,1,6,Saturday,7
2018-01-13 00:00:00,2018,January,1,13,Saturday,7
2018-01-20 00:00:00,2018,January,1,20,Saturday,7
2018-01-27 00:00:00,2018,January,1,27,Saturday,7
2019-01-05 00:00:00,2019,January,1,5,Saturday,7
2019-01-12 00:00:00,2019,January,1,12,Saturday,7
2019-01-19 00:00:00,2019,January,1,19,Saturday,7
2019-01-26 00:00:00,2019,January,1,26,Saturday,7
2017-07-01 00:00:00,2017,July,7,1,Saturday,7
2017-07-08 00:00:00,2017,July,7,8,Saturday,7
2017-07-15 00:00:00,2017,July,7,15,Saturday,7
2017-07-22 00:00:00,2017,July,7,22,Saturday,7
2017-07-29 00:00:00,2017,July,7,29,Saturday,7
2018-07-07 00:00:00,2018,July,7,7,Saturday,7
2018-07-14 00:00:00,2018,July,7,14,Saturday,7
2018-07-21 00:00:00,2018,July,7,21,Saturday,7
2018-07-28 00:00:00,2018,July,7,28,Saturday,7
2019-07-06 00:00:00,2019,July,7,6,Saturday,7
